"Destination","FlightNumber","Code","Scheduled","Delay"
"Beirut","ME 276","BEY","2023/10/19 10:45","Ontime"
"Sochi","FV 6720","AER","2023/10/19 10:50","Ontime"
"Moscow","5G 509","VKO","2023/10/19 11:00","Ontime"
"Dubai","FZ 717","DXB","2023/10/18 11:15","Departed"
"Istanbul","3F 476","IST","2023/10/18 11:30","Departed"
"Sofia","W6 4423","SOF","2023/10/18 11:30","Departed"
"Moscow","WZ 4321","DME","2023/10/18 11:50","Departed"
"Rome","W4 8335","FCO","2023/10/18 12:05","Departed"
"Moscow","SU 1860","SVO","2023/10/18 12:50","Departed"
"Mineralnye Vody","A4 929","MRV","2023/10/18 13:10","Departed"
"Moscow","SU 1866","SVO","2023/10/18 14:10","Departed"
"Sochi","JI 123","AER","2023/10/18 14:40","Departed"
"Mineralnye Vody","3F 362","MRV","2023/10/18 15:00","Departed"
"St.Petersburg","FV 6923","LED","2023/10/18 15:05","Departed"
"Sharm El Sheikh","3F 7642","SSH","2023/10/18 15:30","Departed"
"Moscow","G6 404","DME","2023/10/18 15:45","Departed"
"Paris","TO 7498","ORY","2023/10/18 15:55","Departed"
"Kishinev","3F 1867","KIV","2023/10/18 16:05","Departed"
"Vienna","W4 2891","VIE","2023/10/18 16:20","Departed"
"Moscow","3F 322","VKO","2023/10/18 17:10","Departed"
"Moscow","A4 509","VKO","2023/10/18 17:35","Departed"
"Moscow","5G 510","VKO","2023/10/18 19:20","Departed"
"Venice","W4 5483","VCE","2023/10/18 19:25","Departed"
"Moscow","SU 1862","SVO","2023/10/18 19:45","Departed"
"Milan","W6 5567","MXP","2023/10/18 19:45","Departed"
"Samara","FV 6949","KUF","2023/10/18 19:55","Departed"
"Paris","AF 1060","CDG","2023/10/18 21:00","Departed"
"Paris","DL 8722","CDG","2023/10/18 21:00","Departed"
"Paris","KL 2447","CDG","2023/10/18 21:00","Departed"
"Doha","QR 287","DOH","2023/10/18 21:05","Departed"
"Sochi","WZ 4329","AER","2023/10/18 21:45","Departed"
"Larnaca","W6 4549","LCA","2023/10/18 22:10","Departed"
"Dortmund","W6 4425","DTM","2023/10/18 22:15","Departed"
"Milan","3F 246","MXP","2023/10/18 22:20","Departed"
"Larnaca","CY 414","LCA","2023/10/18 22:50","Departed"
"Nizhny Novgorod","WZ 1347","GOJ","2023/10/18 23:00","Ontime"
"Moscow","SU 1868","SVO","2023/10/18 23:15","Boarding"
"Kishinev","3F 534","KIV","2023/10/18 23:30","Ontime"
"Moscow","JI 103","SVO","2023/10/19 00:05","Ontime"
"Perm","5G 777","PEE","2023/10/19 00:20","Ontime"
"Moscow","3F 312","DME","2023/10/19 00:30","Ontime"
"Doha","QR 285","DOH","2023/10/19 00:50","Ontime"
"Moscow","UT 785","VKO","2023/10/19 01:25","Ontime"
"St.Petersburg","G6 427","LED","2023/10/19 02:55","Ontime"
"Warsaw","LO 727","WAW","2023/10/19 03:20","Ontime"
"Frankfurt","LH 1560","FRA","2023/10/19 03:40","Ontime"
"Vienna","OS 641","VIE","2023/10/19 03:55","Ontime"
"Vienna","LH 6446","VIE","2023/10/19 03:55","Ontime"
"Vienna","UA 9827","VIE","2023/10/19 03:55","Ontime"
"Istanbul","PC 552","SAW","2023/10/19 04:05","Ontime"
"Moscow","5G 710","SVO","2023/10/19 05:00","Ontime"
"Minsk","B2 733","MSQ","2023/10/19 05:05","Ontime"
"Moscow","SU 1966","SVO","2023/10/19 05:45","Ontime"
"Sharm El Sheikh","AMV 4112","SSH","2023/10/19 07:00","Ontime"
"Sharm El Sheikh","SM 993","SSH","2023/10/19 07:30","Ontime"
"Sharm El Sheikh","FT 261","SSH","2023/10/19 07:35","Ontime"
"Abu Dhabi","5W 7013","AUH","2023/10/19 08:50","Ontime"
"Moscow","3F 326","VKO","2023/10/19 09:00","Ontime"
"Beirut","ME 275","BEY","2023/10/19 09:45","Ontime"
"Sochi","FV 6719","AER","2023/10/19 10:00","Ontime"
"Moscow","JI 101","SVO","2023/10/19 10:30","Ontime"
"Dubai","FZ 717","DXB","2023/10/19 11:15","Ontime"
"St.Petersburg","3F 334","LED","2023/10/19 11:30","Ontime"
"Tbilisi","3F 584","TBS","2023/10/19 11:40","Ontime"
"Moscow","WZ 4321","DME","2023/10/19 11:50","Ontime"
"Vienna","W4 2891","VIE","2023/10/19 11:50","Ontime"
"Moscow","SU 1860","SVO","2023/10/19 12:50","Ontime"
"Mineralnye Vody","A4 929","MRV","2023/10/19 13:10","Ontime"
"Moscow","SU 1866","SVO","2023/10/19 14:10","Ontime"
"Yekaterinburg","SU 684","SVX","2023/10/19 14:50","Ontime"
"St.Petersburg","FV 6923","LED","2023/10/19 14:55","Ontime"
"Sochi","JI 123","AER","2023/10/19 15:15","Ontime"
"Moscow","G6 404","DME","2023/10/19 15:45","Ontime"
"Tehran","QSM 2251","IKA","2023/10/19 16:00","Ontime"
"Kishinev","3F 1867","KIV","2023/10/19 16:05","Ontime"
"Sharjah","G9 244","SHJ","2023/10/19 16:40","Ontime"
"Tehran","SHI 7326","IKA","2023/10/19 17:00","Ontime"
"Moscow","3F 322","VKO","2023/10/19 17:10","Ontime"
"Samara","WZ 1355","KUF","2023/10/19 17:20","Ontime"
"Moscow","A4 509","VKO","2023/10/19 17:35","Ontime"
"Larnaca","3F 872","LCA","2023/10/19 17:50","Ontime"
"Yekaterinburg","WZ 1129","SVX","2023/10/19 19:20","Ontime"
"Moscow","SU 1862","SVO","2023/10/19 19:45","Ontime"
"Doha","QR 287","DOH","2023/10/19 21:00","Ontime"
"Rome","W4 8335","FCO","2023/10/19 21:50","Ontime"
"Larnaca","W6 4549","LCA","2023/10/19 22:10","Ontime"
"Nizhny Novgorod","5G 121","GOJ","2023/10/19 22:35","Ontime"
"Sochi","3F 350","AER","2023/10/19 22:45","Ontime"
"Kishinev","3F 868","KIV","2023/10/18 10:00","Ontime"
"Mineralnye Vody","FV 6934","MRV","2023/10/18 10:45","Ontime"
"Mineralnye Vody","3F 361","MRV","2023/10/18 11:20","Ontime"
"Sochi","JI 122","AER","2023/10/18 11:25","Ontime"
"Dortmund","W6 4426","DTM","2023/10/18 12:05","Ontime"
"Dubai","FZ 718","DXB","2023/10/18 12:10","Ontime"
"Moscow","WZ 4322","DME","2023/10/18 12:40","Departed"
"Rome","W4 8336","FCO","2023/10/18 12:40","Departed"
"Milan","3F 245","MXP","2023/10/18 12:50","Departed"
"Moscow","SU 1861","SVO","2023/10/18 13:50","Departed"
"Mineralnye Vody","A4 930","MRV","2023/10/18 14:00","Departed"
"Perm","5G 776","PEE","2023/10/18 15:00","Departed"
"Moscow","SU 1867","SVO","2023/10/18 15:10","Departed"
"Moscow","JI 102","SVO","2023/10/18 15:40","Departed"
"St.Petersburg","FV 6924","LED","2023/10/18 16:00","Departed"
"St.Petersburg","G6 426","LED","2023/10/18 16:45","Departed"
"Paris","TO 7499","ORY","2023/10/18 16:50","Departed"
"Vienna","W4 2892","VIE","2023/10/18 16:55","Departed"
"Moscow","3F 311","DME","2023/10/18 17:00","Departed"
"Kishinev","3F 533","KIV","2023/10/18 18:10","Departed"
"Moscow","A4 510","VKO","2023/10/18 18:25","Departed"
"Venice","W4 5484","VCE","2023/10/18 20:00","Departed"
"Milan","W6 5568","MXP","2023/10/18 20:25","Departed"
"Moscow","SU 1863","SVO","2023/10/18 20:45","Departed"
"Samara","FV 6950","KUF","2023/10/18 20:45","Departed"
"Moscow","5G 709","SVO","2023/10/18 21:00","Departed"
"Doha","QR 288","DOH","2023/10/18 22:05","Departed"
"Doha","IB 2412","DOH","2023/10/18 22:05","Departed"
"Doha","LA 5291","DOH","2023/10/18 22:05","Departed"
"Sochi","WZ 4330","AER","2023/10/18 22:35","Departed"
"Larnaca","W6 4550","LCA","2023/10/18 22:45","Departed"
"Sofia","W6 4424","SOF","2023/10/18 22:50","Departed"
"Nizhny Novgorod","WZ 1348","GOJ","2023/10/18 23:50","Departed"
"Larnaca","CY 415","LCA","2023/10/18 23:50","Departed"
"Moscow","SU 1869","SVO","2023/10/19 00:15","Departed"
"Moscow","3F 325","VKO","2023/10/19 01:10","Departed"
"St.Petersburg","3F 333","LED","2023/10/19 01:10","Departed"
"Moscow","JI 100","SVO","2023/10/19 02:05","Departed"
"Moscow","UT 786","VKO","2023/10/19 02:45","Ontime"
"Doha","QR 286","DOH","2023/10/19 03:50","Boarding"
"Doha","IB 2412","DOH","2023/10/19 03:50","Ontime"
"Doha","LA 5291","DOH","2023/10/19 03:50","Ontime"
"Warsaw","LO 728","WAW","2023/10/19 04:20","Ontime"
"Frankfurt","LH 1561","FRA","2023/10/19 04:35","Ontime"
"Vienna","OS 642","VIE","2023/10/19 04:45","Ontime"
"Vienna","LH 6445","VIE","2023/10/19 04:45","Ontime"
"Vienna","UA 9828","VIE","2023/10/19 04:45","Ontime"
"Minsk","B2 734","MSQ","2023/10/19 05:55","Ontime"
"Istanbul","PC 553","SAW","2023/10/19 06:35","Ontime"
"Moscow","SU 1967","SVO","2023/10/19 06:45","Ontime"
"Moscow","G6 403","DME","2023/10/19 07:30","Ontime"
"Sharm El Sheikh","AMV 4113","SSH","2023/10/19 07:50","Ontime"
"Sharm El Sheikh","SM 994","SSH","2023/10/19 08:25","Ontime"
"Sharm El Sheikh","FT 262","SSH","2023/10/19 08:30","Ontime"
"Moscow","3F 321","VKO","2023/10/19 09:10","Ontime"
"Abu Dhabi","5W 7014","AUH","2023/10/19 09:25","Ontime"
"Tbilisi","3F 583","TBS","2023/10/19 09:30","Ontime"
"Paris","AF 1061","CDG","2023/10/19 09:50","Ontime"
"Paris","KL 2448","CDG","2023/10/19 09:50","Ontime"
"Paris","DL 8723","CDG","2023/10/19 09:50","Ontime"
"Kishinev","3F 868","KIV","2023/10/19 10:00","Ontime"
"Beirut","ME 276","BEY","2023/10/19 10:45","Ontime"
"Sochi","FV 6720","AER","2023/10/19 10:50","Ontime"
"Sochi","JI 122","AER","2023/10/19 11:30","Ontime"
"Dubai","FZ 718","DXB","2023/10/19 12:10","Ontime"
"Vienna","W4 2892","VIE","2023/10/19 12:25","Ontime"
"Moscow","WZ 4322","DME","2023/10/19 12:40","Ontime"
"Larnaca","3F 871","LCA","2023/10/19 12:50","Ontime"
"Moscow","SU 1861","SVO","2023/10/19 13:50","Ontime"
"Mineralnye Vody","A4 930","MRV","2023/10/19 14:00","Ontime"
"Nizhny Novgorod","5G 120","GOJ","2023/10/19 14:40","Ontime"
"Moscow","SU 1867","SVO","2023/10/19 15:10","Ontime"
"Yekaterinburg","SU 685","SVX","2023/10/19 15:50","Ontime"
"St.Petersburg","FV 6924","LED","2023/10/19 15:55","Ontime"
"Moscow","JI 102","SVO","2023/10/19 16:30","Ontime"
"Tehran","QSM 2250","IKA","2023/10/19 17:00","Ontime"
"Moscow","3F 311","DME","2023/10/19 17:00","Ontime"
"Sharjah","G9 245","SHJ","2023/10/19 17:25","Ontime"
"Tehran","SHI 7327","IKA","2023/10/19 17:50","Ontime"
"Samara","WZ 1356","KUF","2023/10/19 18:10","Ontime"
"Kishinev","3F 533","KIV","2023/10/19 18:10","Ontime"
"Moscow","A4 510","VKO","2023/10/19 18:25","Ontime"
"Sochi","3F 349","AER","2023/10/19 18:50","Ontime"
"Yekaterinburg","WZ 1130","SVX","2023/10/19 20:10","Ontime"
"Moscow","SU 1863","SVO","2023/10/19 20:45","Ontime"
"Doha","QR 288","DOH","2023/10/19 22:00","Ontime"
"Doha","IB 2412","DOH","2023/10/19 22:00","Ontime"
"Doha","LA 5291","DOH","2023/10/19 22:00","Ontime"
"Moscow","5G 709","SVO","2023/10/19 22:05","Ontime"
"Rome","W4 8336","FCO","2023/10/19 22:25","Ontime"
"Larnaca","W6 4550","LCA","2023/10/19 22:45","Ontime"
"Milan","3F 246","MXP","2023/10/18 22:20","Departed"
"Moscow","SU 1868","SVO","2023/10/18 23:15","Departed"
"Kishinev","3F 534","KIV","2023/10/18 23:30","Departed"
"Moscow","JI 103","SVO","2023/10/19 00:05","Departed"
"Perm","5G 777","PEE","2023/10/19 00:20","Departed"
"Moscow","3F 312","DME","2023/10/19 00:30","Departed"
"Doha","QR 285","DOH","2023/10/19 00:50","Departed"
"Moscow","UT 785","VKO","2023/10/19 01:25","Departed"
"St.Petersburg","G6 427","LED","2023/10/19 02:55","Departed"
"Warsaw","LO 727","WAW","2023/10/19 03:20","Departed"
"Frankfurt","LH 1560","FRA","2023/10/19 03:40","Departed"
"Vienna","OS 641","VIE","2023/10/19 03:55","Departed"
"Vienna","LH 6446","VIE","2023/10/19 03:55","Departed"
"Vienna","UA 9827","VIE","2023/10/19 03:55","Departed"
"Istanbul","PC 552","SAW","2023/10/19 04:05","Departed"
"Moscow","5G 710","SVO","2023/10/19 05:00","Departed"
"Minsk","B2 733","MSQ","2023/10/19 05:05","Departed"
"Moscow","SU 1966","SVO","2023/10/19 05:45","Departed"
"Sharm El Sheikh","AMV 4112","SSH","2023/10/19 07:00","Departed"
"Sharm El Sheikh","SM 993","SSH","2023/10/19 07:30","Departed"
"Sharm El Sheikh","FT 261","SSH","2023/10/19 07:35","Departed"
"Abu Dhabi","5W 7013","AUH","2023/10/19 08:50","Departed"
"Moscow","3F 326","VKO","2023/10/19 09:00","Departed"
"Beirut","ME 275","BEY","2023/10/19 09:45","Departed"
"Sochi","FV 6719","AER","2023/10/19 10:00","Departed"
"Moscow","JI 101","SVO","2023/10/19 10:30","Departed"
"Dubai","FZ 717","DXB","2023/10/19 11:15","Departed"
"St.Petersburg","3F 334","LED","2023/10/19 11:30","Departed"
"Tbilisi","3F 584","TBS","2023/10/19 11:40","Departed"
"Moscow","WZ 4321","DME","2023/10/19 11:50","Departed"
"Vienna","W4 2891","VIE","2023/10/19 11:50","Departed"
"Moscow","SU 1860","SVO","2023/10/19 12:50","Ontime"
"Mineralnye Vody","A4 929","MRV","2023/10/19 13:10","Ontime"
"Moscow","SU 1866","SVO","2023/10/19 14:10","Ontime"
"Yekaterinburg","SU 684","SVX","2023/10/19 14:50","Ontime"
"St.Petersburg","FV 6923","LED","2023/10/19 14:55","Ontime"
"Sochi","JI 123","AER","2023/10/19 15:15","Ontime"
"Moscow","G6 404","DME","2023/10/19 15:45","Ontime"
"Tehran","QSM 2251","IKA","2023/10/19 16:00","Ontime"
"Kishinev","3F 1867","KIV","2023/10/19 16:05","Ontime"
"Sharjah","G9 244","SHJ","2023/10/19 16:40","Ontime"
"Tehran","SHI 7326","IKA","2023/10/19 17:00","Ontime"
"Moscow","3F 322","VKO","2023/10/19 17:10","Ontime"
"Samara","WZ 1355","KUF","2023/10/19 17:20","Ontime"
"Moscow","A4 509","VKO","2023/10/19 17:35","Ontime"
"Larnaca","3F 872","LCA","2023/10/19 17:50","Ontime"
"Yekaterinburg","WZ 1129","SVX","2023/10/19 19:20","Ontime"
"Moscow","SU 1862","SVO","2023/10/19 19:45","Ontime"
"Doha","QR 287","DOH","2023/10/19 21:00","Ontime"
"Rome","W4 8335","FCO","2023/10/19 21:50","Ontime"
"Larnaca","W6 4549","LCA","2023/10/19 22:10","Ontime"
"Nizhny Novgorod","5G 121","GOJ","2023/10/19 22:35","Ontime"
"Sochi","3F 350","AER","2023/10/19 22:45","Ontime"
"Moscow","SU 1868","SVO","2023/10/19 23:15","Ontime"
"Mineralnye Vody","A4 629","MRV","2023/10/19 23:30","Ontime"
"Kishinev","3F 534","KIV","2023/10/19 23:30","Ontime"
"Kazan","WZ 4677","KZN","2023/10/19 23:30","Ontime"
"Dubai","FZ 715","DXB","2023/10/19 23:50","Ontime"
"Volgograd","FV 6945","VOG","2023/10/20 00:05","Ontime"
"Moscow","3F 312","DME","2023/10/20 00:30","Ontime"
"Brussels","SN 2899","BRU","2023/10/20 00:45","Ontime"
"Doha","QR 285","DOH","2023/10/20 00:50","Ontime"
"Moscow","JI 103","SVO","2023/10/20 00:55","Ontime"
"Moscow","UT 785","VKO","2023/10/20 01:25","Ontime"
"Istanbul","PC 550","SAW","2023/10/20 02:35","Ontime"
"Athens","A3 898","ATH","2023/10/20 03:20","Ontime"
"Frankfurt","LH 1560","FRA","2023/10/20 03:25","Ontime"
"Vienna","OS 641","VIE","2023/10/20 03:55","Ontime"
"Vienna","LH 6446","VIE","2023/10/20 03:55","Ontime"
